Tanggal,Harga
2021-03-09,120000.0
2021-03-10,120000.0
2021-03-11,120000.0
2021-03-12,120000.0
2021-03-13,120000.0
2021-03-14,120000.0
2021-03-15,125000.0
2021-03-16,125000.0
2021-03-17,125000.0
2021-03-18,125000.0
2021-03-19,125000.0
2021-03-20,125000.0
2021-03-21,125000.0
2021-03-22,125000.0
2021-03-23,125000.0
2021-03-24,125000.0
2021-03-25,125000.0
2021-03-26,120000.0
2021-03-27,120000.0
2021-03-28,120000.0
2021-03-29,120000.0
2021-03-30,120000.0
2021-03-31,120000.0
2021-04-01,120000.0
2021-04-02,120000.0
2021-04-03,120000.0
2021-04-04,120000.0
2021-04-05,120000.0
2021-04-06,120000.0
2021-04-07,120000.0
2021-04-08,120000.0
2021-04-09,120000.0
2021-04-10,125000.0
2021-04-11,130000.0
2021-04-12,140000.0
2021-04-13,140000.0
2021-04-14,130000.0
2021-04-15,130000.0
2021-04-16,130000.0
2021-04-17,130000.0
2021-04-18,125000.0
2021-04-19,125000.0
2021-04-20,125000.0
2021-04-21,125000.0
2021-04-22,125000.0
2021-04-23,120000.0
2021-04-24,120000.0
2021-04-25,120000.0
2021-04-26,120000.0
2021-04-27,120000.0
2021-04-28,120000.0
2021-04-29,120000.0
2021-04-30,120000.0
2021-05-01,120000.0
2021-05-02,120000.0
2021-05-03,120000.0
2021-05-04,120000.0
2021-05-05,120000.0
2021-05-06,120000.0
2021-05-07,120000.0
2021-05-08,125000.0
2021-05-09,130000.0
2021-05-10,130000.0
2021-05-11,130000.0
2021-05-12,130000.0
2021-05-13,135000.0
2021-05-14,140000.0
2021-05-15,140000.0
2021-05-16,135000.0
2021-05-17,130000.0
2021-05-18,130000.0
2021-05-19,125000.0
2021-05-20,125000.0
2021-05-21,125000.0
2021-05-22,125000.0
2021-05-23,125000.0
2021-05-24,125000.0
2021-05-25,125000.0
2021-05-26,125000.0
2021-05-27,125000.0
2021-05-28,125000.0
2021-05-29,125000.0
2021-05-30,125000.0
2021-05-31,125000.0
2021-06-01,125000.0
2021-06-02,125000.0
2021-06-03,120000.0
2021-06-04,120000.0
2021-06-05,120000.0
2021-06-06,120000.0
2021-06-07,120000.0
2021-06-08,120000.0
2021-06-09,120000.0
2021-06-10,120000.0
2021-06-11,120000.0
2021-06-12,120000.0
2021-06-13,120000.0
2021-06-14,120000.0
2021-06-15,120000.0
2021-06-16,120000.0
2021-06-17,120000.0
2021-06-18,120000.0
2021-06-19,120000.0
2021-06-20,120000.0
2021-06-21,120000.0
2021-06-22,120000.0
2021-06-23,120000.0
2021-06-24,120000.0
2021-06-25,120000.0
2021-06-26,120000.0
2021-06-27,120000.0
2021-06-28,120000.0
2021-06-29,120000.0
2021-06-30,120000.0
2021-07-01,120000.0
2021-07-02,120000.0
2021-07-03,120000.0
2021-07-04,120000.0
2021-07-05,120000.0
2021-07-06,120000.0
2021-07-07,120000.0
2021-07-08,120000.0
2021-07-09,120000.0
2021-07-10,120000.0
2021-07-11,120000.0
2021-07-12,120000.0
2021-07-13,120000.0
2021-07-14,120000.0
2021-07-15,120000.0
2021-07-16,120000.0
2021-07-17,120000.0
2021-07-18,120000.0
2021-07-19,120000.0
2021-07-20,120000.0
2021-07-21,120000.0
2021-07-22,120000.0
2021-07-23,120000.0
2021-07-24,120000.0
2021-07-25,120000.0
2021-07-26,120000.0
2021-07-27,120000.0
2021-07-28,120000.0
2021-07-29,120000.0
2021-07-30,120000.0
2021-07-31,120000.0
2021-08-01,120000.0
2021-08-02,120000.0
2021-08-03,120000.0
2021-08-04,120000.0
2021-08-05,120000.0
2021-08-06,120000.0
2021-08-07,120000.0
2021-08-08,120000.0
2021-08-09,120000.0
2021-08-10,120000.0
2021-08-11,120000.0
2021-08-12,120000.0
2021-08-13,120000.0
2021-08-14,120000.0
2021-08-15,120000.0
2021-08-16,120000.0
2021-08-17,120000.0
2021-08-18,120000.0
2021-08-19,120000.0
2021-08-20,120000.0
2021-08-21,120000.0
2021-08-22,120000.0
2021-08-23,120000.0
2021-08-24,120000.0
2021-08-25,120000.0
2021-08-26,120000.0
2021-08-27,120000.0
2021-08-28,120000.0
2021-08-29,120000.0
2021-08-30,120000.0
2021-08-31,120000.0
2021-09-01,120000.0
2021-09-02,120000.0
2021-09-03,120000.0
2021-09-04,120000.0
2021-09-05,120000.0
2021-09-06,120000.0
2021-09-07,120000.0
2021-09-08,120000.0
2021-09-09,120000.0
2021-09-10,120000.0
2021-09-11,120000.0
2021-09-12,120000.0
2021-09-13,120000.0
2021-09-14,120000.0
2021-09-15,120000.0
2021-09-16,120000.0
2021-09-17,120000.0
2021-09-18,120000.0
2021-09-19,120000.0
2021-09-20,120000.0
2021-09-21,120000.0
2021-09-22,120000.0
2021-09-23,120000.0
2021-09-24,120000.0
2021-09-25,120000.0
2021-09-26,120000.0
2021-09-27,120000.0
2021-09-28,120000.0
2021-09-29,120000.0
2021-09-30,120000.0
2021-10-01,120000.0
2021-10-02,120000.0
2021-10-03,120000.0
2021-10-04,120000.0
2021-10-05,120000.0
2021-10-06,120000.0
2021-10-07,120000.0
2021-10-08,120000.0
2021-10-09,120000.0
2021-10-10,120000.0
2021-10-11,120000.0
2021-10-12,120000.0
2021-10-13,120000.0
2021-10-14,120000.0
2021-10-15,120000.0
2021-10-16,120000.0
2021-10-17,120000.0
2021-10-18,120000.0
2021-10-19,120000.0
2021-10-20,120000.0
2021-10-21,120000.0
2021-10-22,120000.0
2021-10-23,120000.0
2021-10-24,120000.0
2021-10-25,120000.0
2021-10-26,120000.0
2021-10-27,120000.0
2021-10-28,120000.0
2021-10-29,120000.0
2021-10-30,120000.0
2021-10-31,120000.0
2021-11-01,120000.0
2021-11-02,120000.0
2021-11-03,120000.0
2021-11-04,120000.0
2021-11-05,120000.0
2021-11-06,120000.0
2021-11-07,120000.0
2021-11-08,120000.0
2021-11-09,120000.0
2021-11-10,120000.0
2021-11-11,120000.0
2021-11-12,120000.0
2021-11-13,120000.0
2021-11-14,120000.0
2021-11-15,120000.0
2021-11-16,120000.0
2021-11-17,120000.0
2021-11-18,120000.0
2021-11-19,120000.0
2021-11-20,120000.0
2021-11-21,120000.0
2021-11-22,120000.0
2021-11-23,120000.0
2021-11-24,120000.0
2021-11-25,120000.0
2021-11-26,120000.0
2021-11-27,120000.0
2021-11-28,120000.0
2021-11-29,120000.0
2021-11-30,120000.0
2021-12-01,120000.0
2021-12-02,120000.0
2021-12-03,120000.0
2021-12-04,120000.0
2021-12-05,120000.0
2021-12-06,120000.0
2021-12-07,120000.0
2021-12-08,120000.0
2021-12-09,120000.0
2021-12-10,120000.0
2021-12-11,120000.0
2021-12-12,120000.0
2021-12-13,120000.0
2021-12-14,120000.0
2021-12-15,120000.0
2021-12-16,120000.0
2021-12-17,120000.0
2021-12-18,120000.0
2021-12-19,120000.0
2021-12-20,120000.0
2021-12-21,120000.0
2021-12-22,120000.0
2021-12-23,120000.0
2021-12-24,120000.0
2021-12-25,120000.0
2021-12-26,120000.0
2021-12-27,120000.0
2021-12-28,120000.0
2021-12-29,120000.0
2021-12-30,120000.0
2021-12-31,120000.0
2022-01-01,120000.0
2022-01-02,120000.0
2022-01-03,120000.0
2022-01-04,120000.0
2022-01-05,120000.0
2022-01-06,120000.0
2022-01-07,120000.0
2022-01-08,120000.0
2022-01-09,120000.0
2022-01-10,120000.0
2022-01-11,120000.0
2022-01-12,120000.0
2022-01-13,120000.0
2022-01-14,120000.0
2022-01-15,120000.0
2022-01-16,120000.0
2022-01-17,120000.0
2022-01-18,120000.0
2022-01-19,120000.0
2022-01-20,120000.0
2022-01-21,120000.0
2022-01-22,120000.0
2022-01-23,120000.0
2022-01-24,120000.0
2022-01-25,120000.0
2022-01-26,120000.0
2022-01-27,120000.0
2022-01-28,120000.0
2022-01-29,120000.0
2022-01-30,120000.0
2022-01-31,120000.0
2022-02-01,120000.0
2022-02-02,120000.0
2022-02-03,120000.0
2022-02-04,120000.0
2022-02-05,120000.0
2022-02-06,120000.0
2022-02-07,120000.0
2022-02-08,120000.0
2022-02-09,120000.0
